RPC failed: [Errno socket error] [Errno 111] Connection refused
catch_up_rpc: abort
Opened /home/joseph/.AuroraCoin/blk0001.dat
block_tx 92732 435545
block_tx 92732 435546
block_tx 92733 435547
block_tx 92733 435548
block_tx 92733 435549
block_tx 92734 435550
block_tx 92734 435551
block_tx 92734 435552
block_tx 92735 435553
block_tx 92736 435554
block_tx 92737 435555
block_tx 92738 435556
block_tx 92739 435557
block_tx 92740 435558
block_tx 92741 435559
block_tx 92742 435560
block_tx 92743 435561
block_tx 92744 435562
block_tx 92745 435563
block_tx 92746 435564
block_tx 92747 435565
block_tx 92748 435566
block_tx 92749 435567
block_tx 92750 435568
block_tx 92751 435569
block_tx 92752 435570
block_tx 92752 435571
block_tx 92753 435572
block_tx 92754 435573
block_tx 92755 435574
block_tx 92756 435575
block_tx 92757 435576
block_tx 92758 435577
block_tx 92759 435578
block_tx 92760 435579
block_tx 92761 435580
block_tx 92762 435581
block_tx 92763 435582
block_tx 92763 435583
block_tx 92764 435584
block_tx 92765 435585
block_tx 92766 435586
block_tx 92767 435587
block_tx 92768 435588
block_tx 92768 435589
block_tx 92769 435590
block_tx 92770 435591
block_tx 92771 435592
block_tx 92772 435593
block_tx 92773 435594
block_tx 92774 435595
block_tx 92775 435596
block_tx 92776 435597
block_tx 92776 435598
block_tx 92777 435599
block_tx 92778 435600
block_tx 92779 435601
block_tx 92780 435602
block_tx 92781 435603
block_tx 92782 435604
block_tx 92783 435605
block_tx 92784 435606
block_tx 92785 435607
block_tx 92786 435608
block_tx 92787 435609
block_tx 92788 435610
block_tx 92788 435611
block_tx 92789 435612
block_tx 92790 435613
block_tx 92791 435614
block_tx 92792 435615
block_tx 92793 435616
block_tx 92794 435617
block_tx 92795 435618
block_tx 92795 435619
block_tx 92795 435620
block_tx 92795 435621
block_tx 92795 435622
block_tx 92796 435623
block_tx 92796 435624
block_tx 92796 435625
block_tx 92797 435626
block_tx 92798 435627
block_tx 92799 435628
block_tx 92800 435629
block_tx 92801 435630
block_tx 92801 435631
block_tx 92802 435632
block_tx 92802 435633
block_tx 92802 435634
block_tx 92802 435635
block_tx 92802 435636
block_tx 92803 435637
block_tx 92803 435638
block_tx 92803 435639
block_tx 92804 435640
block_tx 92804 435641
block_tx 92804 435642
block_tx 92805 435643
block_tx 92806 435644
block_tx 92807 435645
block_tx 92808 435646
block_tx 92809 435647
block_tx 92810 435648
block_tx 92811 435649
block_tx 92812 435650
block_tx 92813 435651
block_tx 92814 435652
block_tx 92815 435653
block_tx 92816 435654
block_tx 92817 435655
block_tx 92818 435656
block_tx 92819 435657
block_tx 92819 435658
block_tx 92819 435659
block_tx 92820 435660
block_tx 92821 435661
block_tx 92822 435662
block_tx 92823 435663
block_tx 92824 435664
block_tx 92825 435665
block_tx 92826 435666
block_tx 92827 435667
block_tx 92827 435668
block_tx 92828 435669
block_tx 92829 435670
block_tx 92829 435671
block_tx 92829 435672
block_tx 92829 435673
block_tx 92829 435674
block_tx 92829 435675
block_tx 92830 435676
block_tx 92831 435677
block_tx 92832 435678
block_tx 92833 435679
block_tx 92834 435680
block_tx 92835 435681
block_tx 92836 435682
block_tx 92836 435683
block_tx 92836 435684
block_tx 92837 435685
block_tx 92837 435686
block_tx 92837 435687
block_tx 92837 435688
block_tx 92837 435689
block_tx 92837 435690
block_tx 92838 435691
block_tx 92839 435692
block_tx 92840 435693
block_tx 92841 435694
block_tx 92842 435695
block_tx 92843 435696
block_tx 92844 435697
block_tx 92845 435698
block_tx 92846 435699
block_tx 92847 435700
block_tx 92848 435701
block_tx 92849 435702
block_tx 92850 435703
block_tx 92851 435704
block_tx 92851 435705
block_tx 92852 435706
block_tx 92853 435707
block_tx 92854 435708
block_tx 92855 435709
block_tx 92856 435710
block_tx 92856 435711
block_tx 92857 435712
block_tx 92857 435713
block_tx 92857 435714
block_tx 92857 435715
block_tx 92858 435716
block_tx 92859 435717
block_tx 92860 435718
block_tx 92861 435719
block_tx 92861 435720
block_tx 92861 435721
block_tx 92862 435722
block_tx 92863 435723
block_tx 92864 435724
block_tx 92865 435725
block_tx 92866 435726
block_tx 92867 435727
block_tx 92868 435728
block_tx 92869 435729
block_tx 92869 435730
block_tx 92870 435731
block_tx 92871 435732
block_tx 92872 435733
block_tx 92873 435734
block_tx 92874 435735
block_tx 92874 435736
block_tx 92875 435737
block_tx 92876 435738
block_tx 92877 435739
block_tx 92878 435740
block_tx 92879 435741
block_tx 92880 435742
block_tx 92880 435743
block_tx 92881 435744
block_tx 92881 435745
block_tx 92882 435746
block_tx 92882 435747
block_tx 92882 435748
block_tx 92882 435749
block_tx 92883 435750
block_tx 92884 435751
block_tx 92885 435752
block_tx 92886 435753
block_tx 92887 435754
block_tx 92888 435755
block_tx 92889 435756
block_tx 92890 435757
block_tx 92891 435758
block_tx 92892 435759
block_tx 92893 435760
block_tx 92894 435761
block_tx 92894 435762
block_tx 92895 435763
block_tx 92896 435764
block_tx 92897 435765
block_tx 92898 435766
block_tx 92899 435767
block_tx 92899 435768
block_tx 92900 435769
block_tx 92901 435770
block_tx 92902 435771
block_tx 92903 435772
block_tx 92903 435773
block_tx 92904 435774
RPC failed: [Errno socket error] [Errno 111] Connection refused
catch_up_rpc: abort
Opened /home/joseph/.AuroraCoin/blk0001.dat
block_tx 92905 435775
block_tx 92905 435776
block_tx 92905 435777
block_tx 92905 435778
block_tx 92905 435779
block_tx 92905 435780
block_tx 92905 435781
block_tx 92905 435782
block_tx 92905 435783
block_tx 92905 435784
block_tx 92905 435785
block_tx 92906 435786
block_tx 92906 435787
block_tx 92906 435788
block_tx 92907 435789
block_tx 92907 435790
block_tx 92907 435791
block_tx 92908 435792
block_tx 92909 435793
block_tx 92910 435794
block_tx 92911 435795
block_tx 92912 435796
block_tx 92913 435797
block_tx 92914 435798
block_tx 92915 435799
block_tx 92916 435800
block_tx 92917 435801
block_tx 92918 435802
block_tx 92919 435803
block_tx 92920 435804
block_tx 92921 435805
block_tx 92922 435806
block_tx 92923 435807
block_tx 92924 435808
block_tx 92925 435809
block_tx 92925 435810
block_tx 92926 435811
block_tx 92927 435812
block_tx 92928 435813
block_tx 92929 435814
block_tx 92930 435815
block_tx 92931 435816
block_tx 92932 435817
block_tx 92933 435818
block_tx 92934 435819
block_tx 92935 435820
block_tx 92936 435821
block_tx 92936 435822
block_tx 92937 435823
block_tx 92938 435824
block_tx 92939 435825
block_tx 92940 435826
block_tx 92941 435827
block_tx 92941 435828
block_tx 92942 435829
block_tx 92943 435830
block_tx 92944 435831
block_tx 92945 435832
block_tx 92946 435833
block_tx 92947 435834
block_tx 92948 435835
block_tx 92949 435836
block_tx 92949 435837
block_tx 92950 435838
block_tx 92951 435839
block_tx 92952 435840
block_tx 92953 435841
block_tx 92954 435842
block_tx 92955 435843
block_tx 92956 435844
block_tx 92957 435845
block_tx 92958 435846
block_tx 92959 435847
block_tx 92960 435848
block_tx 92961 435849
block_tx 92961 435850
block_tx 92962 435851
block_tx 92963 435852
block_tx 92964 435853
block_tx 92965 435854
block_tx 92966 435855
block_tx 92967 435856
block_tx 92968 435857
block_tx 92968 435858
block_tx 92968 435859
block_tx 92968 435860
block_tx 92968 435861
block_tx 92969 435862
block_tx 92969 435863
block_tx 92969 435864
block_tx 92970 435865
block_tx 92971 435866
block_tx 92972 435867
block_tx 92973 435868
block_tx 92974 435869
block_tx 92974 435870
block_tx 92975 435871
block_tx 92975 435872
block_tx 92975 435873
block_tx 92975 435874
block_tx 92975 435875
block_tx 92976 435876
block_tx 92976 435877
block_tx 92976 435878
block_tx 92977 435879
block_tx 92977 435880
block_tx 92977 435881
block_tx 92978 435882
block_tx 92979 435883
block_tx 92980 435884
block_tx 92981 435885
block_tx 92982 435886
block_tx 92983 435887
block_tx 92984 435888
block_tx 92985 435889
block_tx 92986 435890
block_tx 92987 435891
